shuttle_lane,distance_state,obstacle_lane,action,distance_name,action_name
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,1,2,1,moyen,Rester
1,0,2,0,proche,Monter
0,0,2,2,proche,Descendre
1,0,2,0,proche,Monter
0,0,2,2,proche,Descendre
1,0,2,0,proche,Monter
0,0,2,2,proche,Descendre
1,0,2,0,proche,Monter
0,0,2,2,proche,Descendre
1,0,2,0,proche,Monter
0,0,2,2,proche,Descendre
1,0,2,0,proche,Monter
0,0,2,2,proche,Descendre
1,0,2,0,proche,Monter
0,0,2,2,proche,Descendre
1,0,2,0,proche,Monter
0,0,2,2,proche,Descendre
1,0,2,0,proche,Monter
0,0,2,2,proche,Descendre
1,0,2,0,proche,Monter
0,0,2,2,proche,Descendre
1,0,2,0,proche,Monter
0,0,2,2,proche,Descendre
1,0,2,0,proche,Monter
0,1,0,1,moyen,Rester
0,1,0,1,moyen,Rester
0,1,0,1,moyen,Rester
0,1,0,1,moyen,Rester
0,0,0,2,proche,Descendre
1,0,0,2,proche,Descendre
2,2,1,2,loin,Descendre
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,2,1,1,loin,Rester
3,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,1,1,2,moyen,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,0,1,2,proche,Descendre
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,4,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,2,0,1,loin,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,1,0,1,moyen,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,0,0,1,proche,Rester
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
4,2,3,2,loin,Descendre
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,2,3,1,loin,Rester
2,1,3,1,moyen,Rester
2,1,3,1,moyen,Rester
2,1,3,1,moyen,Rester
2,1,3,1,moyen,Rester
2,1,3,1,moyen,Rester
2,1,3,1,moyen,Rester
2,1,3,1,moyen,Rester
2,1,3,1,moyen,Rester
2,1,3,1,moyen,Rester
2,1,3,1,moyen,Rester
2,1,3,1,moyen,Rester
2,1,3,1,moyen,Rester
2,1,3,1,moyen,Rester
2,1,4,1,moyen,Rester
2,1,4,1,moyen,Rester
2,1,4,1,moyen,Rester
2,1,4,1,moyen,Rester
2,1,4,1,moyen,Rester
2,1,4,1,moyen,Rester
2,1,4,1,moyen,Rester
2,1,4,1,moyen,Rester
2,1,4,1,moyen,Rester
2,1,4,1,moyen,Rester
2,1,4,1,moyen,Rester
2,1,4,1,moyen,Rester
